"1800BYIC0G1","",380459,410551,"Bury Interchange","Stand G","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDAD","Stand G","2010-03-15"
"1800BYIC0H1","",380459,410563,"Bury Interchange","Stand H","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDAG","Stand H","2010-03-15"
"1800BYIC0J1","",380430,410569,"Bury Interchange","Stand J","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDAJ","Stand J","2010-03-15"
"1800BYIC0K1","",380417,410574,"Bury Interchange","Stand K","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDAM","Stand K","2010-03-15"
"1800BYIC0L1","",380429,410581,"Bury Interchange","Stand L","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDAP","Stand L","2010-03-15"
"1800BYIC0M1","",380397,410581,"Bury Interchange","Stand M","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDAT","Stand M","2010-03-15"
"1800BYIC0N1","",380408,410588,"Bury Interchange","Stand N","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDAW","Stand N","2010-03-15"
"1800BYIC0O1","",380391,410593,"Bury Interchange","Stand O","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDGA","Stand O","2010-03-15"
"1800BYIC0P1","",380385,410567,"Bury Interchange","Stand P","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDGD","Stand P","2010-03-15"
"1800BYIC0R1","",380403,410560,"Bury Interchange","Stand R","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDGJ","Stand R","2010-03-15"
"1800BYIC0S1","",380417,410554,"Bury Interchange","Stand S","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDGM","Stand S","2010-03-15"
"1800BYIC0T1","",380446,410539,"Bury Interchange","Stand T","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDGP","Stand T","2010-03-15"
"1800BYIC0V1","",380460,410525,"Bury Interchange","Stand V","NA","HAYMARKET ST","Bury Interchange","E0028659","","","BCS","MKD","TIP","ACT",2,"SHORT NAME ADDED","Y","MANTMDGT","Stand V","2010-03-15"
"1800CNBS001","",381866,393457,"Chorlton Bus Station","Os Mcr Diving Club","NA","BARLOW MOOR RD","Chorlton Bus Station","E0028713","","","BCS","MKD","OTH","ACT",2,"SHORT NAME ADDED","Y","MANADAGJ","Bus Station","2010-03-15"
"1800CSBS001","",384344,397954,"Manchester Central Coach Station","Op Portland Tower","NA","CHORLTON STREET","Manchester Central Coach Station","E0057786","","","BCS","MKD","TIP","ACT",1,"NAME AMENDED","N","MANADAGP","","2008-06-10"
"1800CSBS0A1","",384333,397946,"Manchester Central Coach Station","Stand A","NA","CHORLTON STREET","Manchester Central Coach Station","E0057786","","","BCS","MKD","TIP","ACT",1,"NAME AMENDED","N","MANTMPMG","","2008-06-10"
